Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index
2017-04-03,19.126667022705078,19.933332443237305,18.972000122070312,19.90133285522461,19.90133285522461,208329000,-0.28,-1.11,-0.08,0.003,18.553333282470703,0.07265538500445654,17.44280014038086,17.350200119018556,18.173653373638007,17.659144639095135,0.514508734542872,77.2298440044971,0.154544
2017-04-04,19.792667388916016,20.320667266845703,19.635332107543945,20.246667861938477,20.246667861938477,152019000,0.05,-0.23,0.32,0.003,19.90133285522461,0.017352355705321912,17.62650022506714,17.423240127563478,18.49257867953039,17.85081302597242,0.6417656535579681,78.97547632457594,0.15916
2017-04-05,20.13599967956543,20.325332641601562,19.613332748413086,19.666667938232422,19.666667938232422,118213500,-0.44,-0.8,-0.3,0.003,20.246667861938477,-0.028646685353909084,17.786933612823486,17.477093467712404,18.673207796253777,17.98532079725094,0.6878869990028385,69.35811244060386,0.163431
2017-04-06,19.79199981689453,20.12933349609375,19.606666564941406,19.913333892822266,19.913333892822266,82809000,0.32,0.67,0.48,0.003,19.666667938232422,0.012542335863124015,17.966266918182374,17.536066818237305,18.86399642649508,18.128136582108073,0.7358598443870079,70.97684242856738,0.16736
2017-04-07,19.833332061767578,20.179332733154297,19.809999465942383,20.16933250427246,20.16933250427246,68694000,-0.08,0.12,-0.26,0.003,19.913333892822266,0.012855637977449354,18.162433528900145,17.602773475646973,19.064817361537756,18.279336280046174,0.7854810814915822,72.59493307188745,0.170948
2017-04-10,20.610000610351562,20.915332794189453,20.58066749572754,20.826000213623047,20.826000213623047,114967500,0.08,0.1,0.07,0.003,20.16933250427246,0.03255773135831264,18.383166885375978,17.682026824951173,19.33576856955088,18.467978052903717,0.8677905166471618,76.25232876746223,0.179821
2017-04-11,20.892000198364258,20.898000717163086,20.366666793823242,20.58066749572754,20.58066749572754,85869000,-0.05,0.8,0.23,0.003,20.826000213623047,-0.011780116939354813,18.55220022201538,17.759466819763183,19.527291481270364,18.624473567186964,0.9028179140833998,72.3665892930103,0.182346
2017-04-12,20.422666549682617,20.56333351135254,19.754667282104492,19.78933334350586,19.78933334350586,90760500,-0.49,-0.84,-0.54,0.003,20.58066749572754,-0.0384503637885388,18.68923349380493,17.819346809387206,19.567605613921977,18.71075947654392,0.8568461373780565,61.48315764742632,0.18468
2017-04-13,19.780000686645508,20.492666244506836,19.68666648864746,20.266666412353516,20.266666412353516,139269000,-0.75,-0.24,-0.81,0.003,19.78933334350586,0.02412072506749196,18.829066848754884,17.892360153198243,19.67515342906529,18.826011842159446,0.8491415869058443,64.9111739939299,0.186825
2017-04-17,20.18000030517578,20.266666412353516,19.91200065612793,20.09600067138672,20.09600067138672,62080500,0.89,0.25,0.24,0.003,20.266666412353516,-0.008421007061268243,18.962200260162355,17.958880157470702,19.739899158653202,18.920085088768875,0.8198140698843268,62.760435213239504,0.193447
